image_file;annotation;IoU;Dice
sa_223750.jpg;1217702582;0.7732793522267076;0.8721461187214529
sa_223750.jpg;1217702596;0.3589928057553698;0.5283218634197708
sa_223750.jpg;1217702614;0.7749999999999515;0.8732394366196875
sa_223750.jpg;1217702620;0.7587719298245496;0.8628428927680721
sa_223750.jpg;1217702637;0.8127413127412343;0.896698615548408
sa_223750.jpg;1217702644;0.4517506404781851;0.6223529411764339
sa_223750.jpg;1217702646;0.7409579667643822;0.8512071869735864
sa_223751.jpg;1081553799;0.8086419753083924;0.8941979522182774
sa_223751.jpg;1081553803;0.7096927556902556;0.8301991727206339
sa_223751.jpg;1081553804;0.7961218836564655;0.8864898210980603
sa_223751.jpg;1081553812;0.8003186404672968;0.8890855457226876
sa_223751.jpg;1081553818;0.7204447469934032;0.8375098918491053
sa_223751.jpg;1081553824;0.7511091779034298;0.8578667594018539
sa_223751.jpg;1081553828;0.8011100832562195;0.88957370313301
sa_223751.jpg;1081553831;0.8140495867765232;0.8974943052389756
sa_223751.jpg;1081553834;0.7179250095651042;0.835804829160556
sa_223751.jpg;1081553843;0.7318611987379395;0.8451730418941994
sa_223751.jpg;1081553850;0.7278106508871434;0.842465753424369
sa_223751.jpg;1081553852;0.7933333333332011;0.8847583643121854
sa_223751.jpg;1081553853;0.784349742836121;0.8791435042206943
sa_223751.jpg;1081553857;0.7614379084964832;0.8645640074209898
sa_223751.jpg;1081553859;0.7872804031049873;0.8809814081072777
sa_223751.jpg;1081553861;0.586978297161917;0.7397433200084002
sa_223751.jpg;1081553872;0.6552225110873172;0.7917032383240136
sa_223751.jpg;1081553885;0.7729072398189972;0.8719093954378643
sa_223751.jpg;1081553887;0.8021607022281699;0.890221056575463
sa_223751.jpg;1081553891;0.7461647153815023;0.8546326801918915
sa_223751.jpg;1081553897;0.7807261862561363;0.8768627004891341
sa_223751.jpg;1081553929;0.7086501901140347;0.8294853963838434
sa_223751.jpg;1081553934;0.3955017157977409;0.566823689746095
sa_223752.jpg;1227167248;0.6467065868262505;0.785454545454474
sa_223752.jpg;1227167253;0.8141521598968342;0.897556641492666
sa_223752.jpg;1227167267;0.7981651376145323;0.8877551020407257
sa_223752.jpg;1227167321;0.4611731378103647;0.6312368135941151
sa_223753.jpg;483010815;0.7940060698027013;0.885176570099368
sa_223753.jpg;483010820;0.7128309572299975;0.8323424494648237
sa_223753.jpg;483010835;0.7728319263238087;0.8718614718614341
sa_223753.jpg;483010842;0.7480140913172567;0.8558444637635311
sa_223754.jpg;1122833924;0.8011716881874654;0.8896116827082613
sa_223754.jpg;1122833931;0.5817486668678883;0.7355766172635282
sa_223754.jpg;1122833939;0.8074817518247807;0.8934881373043692
sa_223754.jpg;1122833949;0.5123400365630697;0.6775460864309445
sa_223754.jpg;1122833982;0.7927655099894815;0.8844051333786901
sa_223754.jpg;1122833993;0.7365190705830614;0.8482706387275833
sa_223754.jpg;1122833994;0.6752747730765875;0.8061659901157198
sa_223754.jpg;1122833995;0.7837288135593088;0.8787533257316527
sa_223754.jpg;1122834004;0.5677009873060599;0.7242465137201939
sa_223754.jpg;1122834005;0.7826276354765616;0.8780607008455095
sa_223754.jpg;1122834020;0.314264207753101;0.478235967926685
sa_223754.jpg;1122834027;0.8132571301879002;0.897012471809363
sa_223754.jpg;1122834029;0.0187094540471866;0.0367316784444409
sa_223755.jpg;711931213;0.5489361702127192;0.7087912087911699
sa_223755.jpg;711931218;0.3453237410071587;0.51336898395718
sa_223755.jpg;711931226;0.6909323116218785;0.8172205438065848
sa_223755.jpg;711931228;0.6563022866703803;0.7924909504166985
sa_223755.jpg;711931229;0.6072175732217255;0.7556134070940204
sa_223755.jpg;711931230;0.3397502601456727;0.5071844660194076
sa_223755.jpg;711931231;0.7285556170448055;0.8429646230190356
sa_223755.jpg;711931232;0.800141743444309;0.8889763779527209
sa_223755.jpg;711931236;0.7256600660065707;0.8410231890987129
sa_223755.jpg;711931240;0.4867013899590086;0.6547399407118708
sa_223755.jpg;711931241;0.6680816656559396;0.8010179350460397
sa_223755.jpg;711931242;0.6825629022820263;0.8113371587549921
sa_223755.jpg;711931243;0.6007168458780932;0.7505597850425101
sa_223755.jpg;711931244;0.7373908143138704;0.8488485241647608
sa_223755.jpg;711931245;0.7956801470588162;0.8862158980396126
sa_223755.jpg;711931254;0.7220683287164948;0.8386058981233019
sa_223755.jpg;711931257;0.7288776796972599;0.843180160466751
sa_223755.jpg;711931259;0.4959677419354728;0.6630727762803135
sa_223755.jpg;711931269;0.2584422293225166;0.4107335613835037
sa_223755.jpg;711931272;0.7098458478368912;0.8303039115893519
sa_223755.jpg;711931298;0.1266610927424973;0.2248432888264229
sa_223755.jpg;711931300;0.5383351997013771;0.6998932349800996
sa_223755.jpg;711931301;0.4973966309341348;0.6643485375332243
sa_223756.jpg;839231401;0.7808838643370857;0.8769621421975892
sa_223756.jpg;839231411;0.7488372093021515;0.8563829787232903
sa_223756.jpg;839231415;0.6507493014985948;0.7884289890752363
sa_223756.jpg;839231421;0.8018518518518222;0.8900308324768573
sa_223756.jpg;839231424;0.7302353651176384;0.8440878967561617
sa_223756.jpg;839231428;0.7104519774010798;0.8307184145334091
sa_223756.jpg;839231429;0.3901345291479383;0.5612903225805999
sa_223756.jpg;839231431;0.8014505893018312;0.8897835933567745
sa_223756.jpg;839231437;0.782703172533647;0.8781082398829625
sa_223756.jpg;839231438;0.6584615384615095;0.7940630797773445
sa_223756.jpg;839231439;0.7312259867271964;0.8447493190759523
sa_223756.jpg;839231445;0.7682188897658309;0.8689183157268134
sa_223756.jpg;839231447;0.8013411567476277;0.8897161470450958
sa_223756.jpg;839231451;0.7780979827087096;0.8752025931927269
sa_223756.jpg;839231459;0.7738095238095162;0.8724832214765053
sa_223756.jpg;839231470;0.6478114788051703;0.7862689235238233
sa_223756.jpg;839231475;0.6233183856501776;0.767955801104937
sa_223756.jpg;839231476;0.7625754527161444;0.8652968036528692
sa_223756.jpg;839231477;0.6325301204818324;0.7749077490774192
sa_223756.jpg;839231480;0.767329716696759;0.8683492496589063
sa_223756.jpg;839231482;0.76811594202892;0.8688524590163516
sa_223756.jpg;839231483;0.7122302158268258;0.8319327731088942
sa_223756.jpg;839231489;0.8068965517240823;0.8931297709923323
sa_223756.jpg;839231491;0.8015665796344487;0.8898550724637582
sa_223756.jpg;839231498;0.4441615750169709;0.6151134093312951
sa_223756.jpg;839231506;0.8072883368344126;0.8933697190216283
sa_223756.jpg;839231518;0.7546816479400043;0.8601921024545965
sa_223756.jpg;839231525;0.7233273056057604;0.8394543546694472
sa_223756.jpg;839231534;0.8036993995738834;0.8911677852348946
sa_223756.jpg;839231551;0.7520380434782098;0.8584722760759651
sa_223756.jpg;839231552;0.7418361059765751;0.8517863459497625
sa_223756.jpg;839231555;0.739327113372894;0.8501300390116897
sa_223756.jpg;839231564;0.6697388632871475;0.8022079116834588
sa_223756.jpg;839231574;0.4623986682107684;0.632383874879357
sa_223756.jpg;839231586;0.7951541850219827;0.88588957055212
sa_223756.jpg;839231587;0.7871175523349183;0.8808794377365132
sa_223757.jpg;571988957;0.7853427895980901;0.8797669491525307
sa_223758.jpg;1002353522;0.657754010695137;0.7935483870967376
sa_223758.jpg;1002353523;0.7773722627735807;0.8747433264886165
sa_223758.jpg;1002353526;0.5010636240572326;0.6676114403504165
sa_223758.jpg;1002353530;0.2110817941952427;0.3485838779956318
sa_223758.jpg;1002353538;0.5658602150537565;0.7227467811158742
sa_223758.jpg;1002353539;0.7976744186046368;0.8874514877102111
sa_223758.jpg;1002353541;0.7194670614359201;0.8368489022814964
sa_223758.jpg;1002353542;0.8058007566203779;0.8924581005586281
sa_223758.jpg;1002353543;0.8040333187198244;0.8913730255163818
sa_223758.jpg;1002353548;0.7941176470586112;0.8852459016392122
sa_223758.jpg;1002353550;0.7915539525097567;0.8836507004445862
sa_223758.jpg;1002353555;0.8141927356707787;0.8975812984608159
sa_223758.jpg;1002353571;0.8096774193545776;0.8948306595363823
sa_223758.jpg;1002353579;0.7456765005085711;0.8543123543123045
sa_223758.jpg;1002353585;0.8025477707005639;0.8904593639575522
sa_223758.jpg;1002353603;0.7906403940884752;0.883081155433166
sa_223758.jpg;1002353611;0.682352941176203;0.8111888111886221
sa_223758.jpg;1002353630;0.6955624355004442;0.8204503956177224
sa_223758.jpg;1002353631;0.7919540229884754;0.8838999358562992
sa_223758.jpg;1002353649;0.8064463350785208;0.8928539081604846
sa_223759.jpg;775016759;0.7327981651375727;0.8457974851091712
sa_223759.jpg;775016760;0.7691045796308849;0.8694845838806826
sa_223759.jpg;775016767;0.7993730407522257;0.8885017421602013
sa_223759.jpg;775016778;0.8125565108747459;0.896586126832099
sa_223759.jpg;775016784;0.75528700906333;0.8605851979345215
sa_223759.jpg;775016787;0.6708158851410412;0.8029800184529782
sa_223759.jpg;775016790;0.7580281549020553;0.8623617918613904
sa_223759.jpg;775016791;0.7705597788527812;0.8704137392661869
sa_223759.jpg;775016800;0.6821782178217652;0.8110653325485461
sa_223759.jpg;775016814;0.8050790822009177;0.8920153029741961
sa_223759.jpg;775016831;0.7455910719206341;0.8542562847784015
sa_223759.jpg;775016835;0.4259278811298574;0.597404520616241
sa_223759.jpg;775016847;0.8048172757474414;0.8918545789231067
sa_223759.jpg;775016855;0.803018867924498;0.8907492674759127
sa_223759.jpg;775016863;0.7233402210043989;0.8394630522611733
sa_223759.jpg;775016865;0.2251375370291995;0.3675302245250424
sa_223759.jpg;775016867;0.7311505166154655;0.8446989555188095
sa_223760.jpg;557442027;0.7661166865112984;0.8675719926803345
sa_223760.jpg;557442030;0.5695311249799877;0.7257340946166321
sa_223760.jpg;557442031;0.6900662251654714;0.8166144200626319
sa_223760.jpg;557442037;0.6837443556790433;0.8121712222795171
sa_223760.jpg;557442049;0.7155310006138718;0.834180204680454
sa_223760.jpg;557442055;0.7716535433070657;0.8711111111110977
sa_223760.jpg;557442057;0.7390213299874066;0.8499278499278192
sa_223760.jpg;557442064;0.6692307692307469;0.8018433179723341
sa_223760.jpg;557442070;0.7159023228111545;0.8344324887191658
sa_223760.jpg;557442072;0.3321379310344736;0.4986539656243425
sa_223760.jpg;557442079;0.7912932138284167;0.8834882058613244
sa_223760.jpg;557442083;0.6152012340485119;0.7617641951727664
sa_223760.jpg;557442092;0.7032258064515562;0.8257575757575366
sa_223760.jpg;557442093;0.8027292795504555;0.8905710787042092
sa_223760.jpg;557442097;0.7852348993286834;0.8796992481201905
sa_223760.jpg;557442099;0.7883803959753071;0.8816696914700385
sa_223760.jpg;557442105;0.6950964443411412;0.8201261310666189
sa_223760.jpg;557442122;0.7474226804123607;0.8554572271386363
sa_223760.jpg;557442125;0.7375799470249993;0.8489738251041031
sa_223760.jpg;557442126;0.5484225972120222;0.7083629471689089
sa_223760.jpg;557442130;0.7956942003514589;0.8862246146317375
sa_223760.jpg;557442141;0.6032142857142749;0.7525061260859796
sa_223760.jpg;557442161;0.782763309277264;0.8781460838955655
sa_223760.jpg;557442162;0.7833001988071484;0.8784838350055687
sa_223760.jpg;557442163;0.8002943507302072;0.8890705571626155
sa_223760.jpg;557442166;0.2976190476190279;0.4587155963302518
sa_223760.jpg;557442172;0.7655217965653391;0.8671904227459458
sa_223760.jpg;557442177;0.6793365583966593;0.8090534979423701
sa_223760.jpg;557442184;0.7925347222221534;0.8842615012106109
sa_223760.jpg;557442191;0.7958115183245726;0.886297376093273
sa_223761.jpg;1055351532;0.6424188329800219;0.782283812241011
